Category,Specialty,Name,Type,Provider,Country/Region,Website,Notes
Course,Anaesthesia / Pain / Airway,Regional Anaesthesia Courses,Course,Royal College of Anaesthetists / e-Learning for Healthcare,UK,https://www.e-lfh.org.uk/programmes/,
Course,Anaesthesia / Pain / Airway,Obstetric Anaesthesia Courses,Course,Royal College of Anaesthetists / e-Learning for Healthcare,UK,https://www.e-lfh.org.uk/programmes/,
Course,Anaesthesia / Pain / Airway,Paediatric Anaesthesia Courses,Course,Royal College of Anaesthetists / e-Learning for Healthcare,UK,https://www.e-lfh.org.uk/programmes/,
Course,Anaesthesia / Pain / Airway,Anaesthetic Crisis Resource Management,Course,Royal College of Anaesthetists / e-Learning for Healthcare,UK,https://www.e-lfh.org.uk/programmes/,
Course,Anaesthesia / Pain / Airway,Simulation Instructor Training,Course,Royal College of Anaesthetists / e-Learning for Healthcare,UK,https://www.e-lfh.org.uk/programmes/,
Course,Emergency Medicine,Cadaver Airway Course,Course/Conference,Royal College of Emergency Medicine,UK,https://rcem.ac.uk/events/,
Course,Emergency Medicine,Beyond the Forgotten Tribe,Course/Conference,Royal College of Emergency Medicine,UK,https://www.rcemlearning.co.uk/,
Course,Emergency Medicine,Safe Sedation Procedures in Adults,Course/Conference,Royal College of Emergency Medicine,UK,https://www.rcemlearning.co.uk/,
Course,Emergency Medicine,Emergency Medicine Ultrasound Courses,Course/Conference,Royal College of Emergency Medicine,UK,https://www.rcemlearning.co.uk/,
Course,Emergency Medicine,Major Incident Training,Course/Conference,Royal College of Emergency Medicine,UK,https://www.rcemlearning.co.uk/,
Course,Emergency Medicine,Paediatric Emergency Medicine Courses,Course/Conference,Royal College of Emergency Medicine,UK,https://www.rcemlearning.co.uk/,
Course,Emergency Medicine,Trauma Courses,Course/Conference,Royal College of Emergency Medicine,UK,https://www.rcemlearning.co.uk/,
Course,Emergency Medicine,Simulation Training for Emergency Medicine,Course/Conference,Royal College of Emergency Medicine,UK,https://www.rcemlearning.co.uk/,
Course,Emergency Medicine,RCEM Annual Scientific Conference,Course/Conference,Royal College of Emergency Medicine,UK,https://rcem.ac.uk/events/,
Course,Emergency Medicine,RCEM CPD Conference,Course/Conference,Royal College of Emergency Medicine,UK,https://rcem.ac.uk/events/,
Course,Obstetrics & Gynaecology,Basic Practical Skills in Obstetrics and Gynaecology,Course/Conference,Royal College of Obstetricians and Gynaecologists,UK,https://www.rcog.org.uk/careers-and-training/courses-events-and-exams/,
Course,Obstetrics & Gynaecology,ROBuST: Assisted Birth Simulation Training,Course/Conference,Royal College of Obstetricians and Gynaecologists,UK,https://www.rcog.org.uk/careers-and-training/courses-events-and-exams/,
Course,Obstetrics & Gynaecology,Annual Professional Development Conference,Course/Conference,Royal College of Obstetricians and Gynaecologists,UK,https://www.rcog.org.uk/careers-and-training/courses-events-and-exams/,
Course,Obstetrics & Gynaecology,National Trainees Conference,Course/Conference,Royal College of Obstetricians and Gynaecologists,UK,https://www.rcog.org.uk/careers-and-training/courses-events-and-exams/,
Course,Obstetrics & Gynaecology,Labour Ward Leadership,Course/Conference,Royal College of Obstetricians and Gynaecologists,UK,https://www.rcog.org.uk/careers-and-training/courses-events-and-exams/,
Course,Obstetrics & Gynaecology,Basic Ultrasound Training,Course/Conference,Royal College of Obstetricians and Gynaecologists,UK,https://www.rcog.org.uk/careers-and-training/courses-events-and-exams/,
Course,Obstetrics & Gynaecology,Colposcopy Courses,Course/Conference,Royal College of Obstetricians and Gynaecologists,UK,https://www.rcog.org.uk/careers-and-training/courses-events-and-exams/,
Course,Obstetrics & Gynaecology,Fetal Medicine Courses,Course/Conference,Royal College of Obstetricians and Gynaecologists,UK,https://www.rcog.org.uk/careers-and-training/courses-events-and-exams/,
Course,Obstetrics & Gynaecology,Urogynaecology Courses,Course/Conference,Royal College of Obstetricians and Gynaecologists,UK,https://www.rcog.org.uk/careers-and-training/courses-events-and-exams/,
Course,Obstetrics & Gynaecology,Advanced Labour Ward Practice,Course/Conference,Royal College of Obstetricians and Gynaecologists,UK,https://www.rcog.org.uk/careers-and-training/courses-events-and-exams/,
Course,Obstetrics & Gynaecology,MRCOG Part 2 Courses,Course/Conference,Royal College of Obstetricians and Gynaecologists,UK,https://www.rcog.org.uk/careers-and-training/courses-events-and-exams/,
Course,Obstetrics & Gynaecology,MRCOG Part 3 Courses,Course/Conference,Royal College of Obstetricians and Gynaecologists,UK,https://www.rcog.org.uk/careers-and-training/courses-events-and-exams/,
Course,Ophthalmology,Introduction to Ophthalmic Surgery,Course/Conference,Royal College of Ophthalmologists,UK,https://www.rcophth.ac.uk/events-courses/,
Course,Ophthalmology,Basic Phacoemulsification,Course/Conference,Royal College of Ophthalmologists,UK,https://www.rcophth.ac.uk/events-courses/,
Course,Ophthalmology,Ocular Trauma,Course/Conference,Royal College of Ophthalmologists,UK,https://www.rcophth.ac.uk/events-courses/,
Course,Ophthalmology,Cataract Surgery Complications,Course/Conference,Royal College of Ophthalmologists,UK,https://www.rcophth.ac.uk/events-courses/,
Course,Ophthalmology,Microsurgical Skills Courses,Course/Conference,Royal College of Ophthalmologists,UK,https://www.rcophth.ac.uk/events-courses/,
Course,Ophthalmology,Retina Courses,Course/Conference,Royal College of Ophthalmologists,UK,https://www.rcophth.ac.uk/events-courses/,
Course,Ophthalmology,Glaucoma Courses,Course/Conference,Royal College of Ophthalmologists,UK,https://www.rcophth.ac.uk/events-courses/,
Course,Ophthalmology,Oculoplastics Courses,Course/Conference,Royal College of Ophthalmologists,UK,https://www.rcophth.ac.uk/events-courses/,
Course,Ophthalmology,FRCOphth Exam Preparation,Course/Conference,Royal College of Ophthalmologists,UK,https://www.rcophth.ac.uk/events-courses/,
Course,Ophthalmology,RCOphth Annual Congress,Course/Conference,Royal College of Ophthalmologists,UK,https://www.rcophth.ac.uk/events-courses/,
Course,Paediatrics,Safeguarding Level 3,Course/Conference,Royal College of Paediatrics and Child Health,UK,https://www.rcpch.ac.uk/events,
Course,Paediatrics,Child Protection Portal Courses,Course/Conference,Royal College of Paediatrics and Child Health,UK,https://www.rcpch.ac.uk/events,
Course,Paediatrics,Paediatric Sub-specialty Careers Event,Course/Conference,Royal College of Paediatrics and Child Health,UK,https://www.rcpch.ac.uk/events,
Course,Paediatrics,Advisory Appointments Committee Training Day,Course/Conference,Royal College of Paediatrics and Child Health,UK,https://www.rcpch.ac.uk/events,
Course,Paediatrics,Trainee Research Network National Conference,Course/Conference,Royal College of Paediatrics and Child Health,UK,https://www.rcpch.ac.uk/events,
Course,Paediatrics,How to Manage: When a Child Dies,Course/Conference,Royal College of Paediatrics and Child Health,UK,https://www.rcpch.ac.uk/events,
Course,Paediatrics,How to Manage: Children and Young People Seeking Asylum,Course/Conference,Royal College of Paediatrics and Child Health,UK,https://www.rcpch.ac.uk/events,
Course,Paediatrics,Supporting Level 4/5 Doctors,Course/Conference,Royal College of Paediatrics and Child Health,UK,https://www.rcpch.ac.uk/events,
Course,Paediatrics,RCPCH Conference,Course/Conference,Royal College of Paediatrics and Child Health,UK,https://www.rcpch.ac.uk/events,
Course,Paediatrics,Paediatric Leadership Courses,Course/Conference,Royal College of Paediatrics and Child Health,UK,https://www.rcpch.ac.uk/events,
Course,Psychiatry,Leadership and Management Skills Course,Course/Conference,Royal College of Psychiatrists,UK,https://www.rcpsych.ac.uk/events,
Course,Psychiatry,Faculty of General Adult Psychiatry Annual Conference,Course/Conference,Royal College of Psychiatrists,UK,https://www.rcpsych.ac.uk/events,
Course,Psychiatry,Quality Improvement Conference,Course/Conference,Royal College of Psychiatrists,UK,https://www.rcpsych.ac.uk/events,
Course,Psychiatry,Old Age Psychiatry Conference,Course/Conference,Royal College of Psychiatrists,UK,https://www.rcpsych.ac.uk/events,
Course,Psychiatry,Child and Adolescent Psychiatry Conference,Course/Conference,Royal College of Psychiatrists,UK,https://www.rcpsych.ac.uk/events,
Course,Psychiatry,Forensic Psychiatry Conference,Course/Conference,Royal College of Psychiatrists,UK,https://www.rcpsych.ac.uk/events,
Course,Psychiatry,Medical Psychotherapy Conference,Course/Conference,Royal College of Psychiatrists,UK,https://www.rcpsych.ac.uk/events,
Course,Psychiatry,Liaison Psychiatry Conference,Course/Conference,Royal College of Psychiatrists,UK,https://www.rcpsych.ac.uk/events,
Course,Psychiatry,Psychopharmacology Courses,Course/Conference,Royal College of Psychiatrists,UK,https://www.rcpsych.ac.uk/events,
Course,Psychiatry,MRCPsych CASC Preparation,Course/Conference,Royal College of Psychiatrists,UK,https://www.rcpsych.ac.uk/events,
Course,Radiology / Clinical Oncology,Advanced Radiotherapy,Course/Conference,Royal College of Radiologists / e-Learning for Healthcare,UK,https://www.rcr.ac.uk/clinical-radiology/careers-and-recruitment/specialty-training/e-learning/,
Course,Radiology / Clinical Oncology,Clinical Medical Imaging,Course/Conference,Royal College of Radiologists / e-Learning for Healthcare,UK,https://www.rcr.ac.uk/clinical-radiology/careers-and-recruitment/specialty-training/e-learning/,
Course,Radiology / Clinical Oncology,Clinical Oncology,Course/Conference,Royal College of Radiologists / e-Learning for Healthcare,UK,https://www.rcr.ac.uk/clinical-radiology/careers-and-recruitment/specialty-training/e-learning/,
Course,Radiology / Clinical Oncology,e-RADS: Radiation Safety for Staff,Course/Conference,Royal College of Radiologists / e-Learning for Healthcare,UK,https://www.rcr.ac.uk/clinical-radiology/careers-and-recruitment/specialty-training/e-learning/,
Course,Radiology / Clinical Oncology,Focused Acute Medicine Ultrasound,Course/Conference,Royal College of Radiologists / e-Learning for Healthcare,UK,https://www.rcr.ac.uk/clinical-radiology/careers-and-recruitment/specialty-training/e-learning/,
Course,Radiology / Clinical Oncology,Guidance for Overseas Radiographers,Course/Conference,Royal College of Radiologists / e-Learning for Healthcare,UK,https://www.rcr.ac.uk/clinical-radiology/careers-and-recruitment/specialty-training/e-learning/,
Course,Radiology / Clinical Oncology,ICU/Echo Ultrasound,Course/Conference,Royal College of Radiologists / e-Learning for Healthcare,UK,https://www.rcr.ac.uk/clinical-radiology/careers-and-recruitment/specialty-training/e-learning/,
Course,Radiology / Clinical Oncology,IRMER Ionising Radiation Regulations Course,Course/Conference,Royal College of Radiologists / e-Learning for Healthcare,UK,https://www.rcr.ac.uk/clinical-radiology/careers-and-recruitment/specialty-training/e-learning/,
Course,Radiology / Clinical Oncology,MRI Safety Course,Course/Conference,Royal College of Radiologists / e-Learning for Healthcare,UK,https://www.rcr.ac.uk/clinical-radiology/careers-and-recruitment/specialty-training/e-learning/,
Course,Radiology / Clinical Oncology,National Breast Imaging Academy,Course/Conference,Royal College of Radiologists / e-Learning for Healthcare,UK,https://www.rcr.ac.uk/clinical-radiology/careers-and-recruitment/specialty-training/e-learning/,
Course,Radiology / Clinical Oncology,Proton Beam Therapy,Course/Conference,Royal College of Radiologists / e-Learning for Healthcare,UK,https://www.rcr.ac.uk/clinical-radiology/careers-and-recruitment/specialty-training/e-learning/,
Course,Radiology / Clinical Oncology,Radiation Protection for Cardiology,Course/Conference,Royal College of Radiologists / e-Learning for Healthcare,UK,https://www.rcr.ac.uk/clinical-radiology/careers-and-recruitment/specialty-training/e-learning/,
Course,Radiology / Clinical Oncology,Radiation Protection for Vascular Surgeons,Course/Conference,Royal College of Radiologists / e-Learning for Healthcare,UK,https://www.rcr.ac.uk/clinical-radiology/careers-and-recruitment/specialty-training/e-learning/,
Course,Radiology / Clinical Oncology,R-ITI Online Radiology Course,Course/Conference,Royal College of Radiologists / e-Learning for Healthcare,UK,https://www.rcr.ac.uk/clinical-radiology/careers-and-recruitment/specialty-training/e-learning/,
Course,Radiology / Clinical Oncology,FRCR Exam Preparation Courses,Course/Conference,Royal College of Radiologists / e-Learning for Healthcare,UK,https://www.rcr.ac.uk/clinical-radiology/careers-and-recruitment/specialty-training/e-learning/,
Course,Radiology / Clinical Oncology,RCR Learning Live,Course/Conference,Royal College of Radiologists / e-Learning for Healthcare,UK,https://www.rcr.ac.uk/clinical-radiology/careers-and-recruitment/specialty-training/e-learning/,
Course,Radiology / Clinical Oncology,UK Imaging and Oncology Congress (UKIO),Course/Conference,Royal College of Radiologists / e-Learning for Healthcare,UK,https://www.rcr.ac.uk/clinical-radiology/careers-and-recruitment/specialty-training/e-learning/,
Course,Pathology,Histopathology Training,Training/Course/Conference,Royal College of Pathologists,UK,https://www.rcpath.org/profession/training.html,
Course,Pathology,Chemical Pathology Training,Training/Course/Conference,Royal College of Pathologists,UK,https://www.rcpath.org/profession/training.html,
Course,Pathology,Medical Microbiology Training,Training/Course/Conference,Royal College of Pathologists,UK,https://www.rcpath.org/profession/training.html,
Course,Pathology,Medical Virology Training,Training/Course/Conference,Royal College of Pathologists,UK,https://www.rcpath.org/profession/training.html,
Course,Pathology,Haematology Training,Training/Course/Conference,Royal College of Pathologists,UK,https://www.rcpath.org/profession/training.html,
Course,Pathology,Forensic Histopathology Training,Training/Course/Conference,Royal College of Pathologists,UK,https://www.rcpath.org/profession/training.html,
Course,Pathology,Diagnostic Neuropathology Training,Training/Course/Conference,Royal College of Pathologists,UK,https://www.rcpath.org/profession/training.html,
Course,Pathology,Paediatric and Perinatal Pathology Training,Training/Course/Conference,Royal College of Pathologists,UK,https://www.rcpath.org/profession/training.html,
Course,Pathology,Molecular Pathology Training,Training/Course/Conference,Royal College of Pathologists,UK,https://www.rcpath.org/profession/training.html,
Course,Pathology,Transfusion Science Training,Training/Course/Conference,Royal College of Pathologists,UK,https://www.rcpath.org/profession/training.html,
Course,Pathology,Clinical Biochemistry HSST,Training/Course/Conference,Royal College of Pathologists,UK,https://www.rcpath.org/profession/training.html,
Course,Pathology,Genetics HSST,Training/Course/Conference,Royal College of Pathologists,UK,https://www.rcpath.org/profession/training.html,
Course,Pathology,Cytopathology Courses,Training/Course/Conference,Royal College of Pathologists,UK,https://www.rcpath.org/profession/training.html,
Course,Pathology,RCPath Annual Conference,Training/Course/Conference,Royal College of Pathologists,UK,https://www.rcpath.org/profession/training.html,
Course,Intensive Care Medicine,ICM Curriculum Courses,Course/Conference,Faculty of Intensive Care Medicine,UK,https://www.ficm.ac.uk,
Course,Intensive Care Medicine,ICM Teaching Days,Course/Conference,Faculty of Intensive Care Medicine,UK,https://www.ficm.ac.uk,
Course,Intensive Care Medicine,FFICM Exam Preparation,Course/Conference,Faculty of Intensive Care Medicine,UK,https://www.ficm.ac.uk,
Course,Intensive Care Medicine,Critical Care Ultrasound Courses,Course/Conference,Faculty of Intensive Care Medicine,UK,https://www.ficm.ac.uk,
Course,Intensive Care Medicine,ICM Annual Meeting,Course/Conference,Faculty of Intensive Care Medicine,UK,https://www.ficm.ac.uk,
Course,Public Health,Public Health Training,Course/Conference,Faculty of Public Health,UK,https://www.fph.org.uk,
Course,Public Health,Diplomate Exam Preparation,Course/Conference,Faculty of Public Health,UK,https://www.fph.org.uk,
Course,Public Health,CPD Events,Course/Conference,Faculty of Public Health,UK,https://www.fph.org.uk,
Course,Public Health,Public Health Conference,Course/Conference,Faculty of Public Health,UK,https://www.fph.org.uk,
Course,Public Health,Health Protection Courses,Course/Conference,Faculty of Public Health,UK,https://www.fph.org.uk,
Course,Occupational Medicine,Occupational Medicine Training,Course/Conference,Faculty of Occupational Medicine,UK,https://www.fom.ac.uk,
Course,Occupational Medicine,MFOM Exam Preparation,Course/Conference,Faculty of Occupational Medicine,UK,https://www.fom.ac.uk,
Course,Occupational Medicine,Occupational Health Updates,Course/Conference,Faculty of Occupational Medicine,UK,https://www.fom.ac.uk,
Course,Occupational Medicine,Ethics in Occupational Medicine,Course/Conference,Faculty of Occupational Medicine,UK,https://www.fom.ac.uk,
Course,Sport & Exercise Medicine,SEM Training,Course/Conference,Faculty of Sport and Exercise Medicine,UK,https://www.fsem.ac.uk,
Course,Sport & Exercise Medicine,Musculoskeletal Ultrasound Courses,Course/Conference,Faculty of Sport and Exercise Medicine,UK,https://www.fsem.ac.uk,
Course,Sport & Exercise Medicine,Exercise Medicine Courses,Course/Conference,Faculty of Sport and Exercise Medicine,UK,https://www.fsem.ac.uk,
Course,Sport & Exercise Medicine,Sports Injury Courses,Course/Conference,Faculty of Sport and Exercise Medicine,UK,https://www.fsem.ac.uk,
Course,Pharmaceutical Medicine,Pharmaceutical Medicine Training,Course/Conference,Faculty of Pharmaceutical Medicine,UK,https://www.fpm.org.uk,
Course,Pharmaceutical Medicine,MFPM Exam Preparation,Course/Conference,Faculty of Pharmaceutical Medicine,UK,https://www.fpm.org.uk,
Course,Pharmaceutical Medicine,Clinical Trials Courses,Course/Conference,Faculty of Pharmaceutical Medicine,UK,https://www.fpm.org.uk,
Course,Pharmaceutical Medicine,Medicines Development Courses,Course/Conference,Faculty of Pharmaceutical Medicine,UK,https://www.fpm.org.uk,
Course,Sexual & Reproductive Health,Diploma in Sexual and Reproductive Healthcare,Course/Conference,College of Sexual and Reproductive Healthcare,UK,https://www.cosrh.org,
Course,Sexual & Reproductive Health,Letter of Competence IUT,Course/Conference,College of Sexual and Reproductive Healthcare,UK,https://www.cosrh.org,
